"Ticker","ADF_Nivel_Estacionaria","ADF_Nivel_Tendencia_Det","KPSS_Nivel_Estacionaria","ADF_d1_Estacionaria","ADF_d1_Deriva","KPSS_d1_Estacionaria","BP_d1_Heterocedasticidad"
"Alphabet","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Amazon.com","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Broadcom","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","Sí"
"Coca-Cola","Sí","Sí","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Exxon","Sí","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","Sí"
"JPMorgan","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Lululemon","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Marvell","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","Sí"
"Nu","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","Sí"
"NVIDIA","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
"Qualcomm","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","Sí"
"ServiceNow","No (Raíz Unitaria)","No (Estocástica)","No (Raíz Unitaria)","Sí","Sí","Sí","No (Homocedástica)"
